n,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50
68000,899171,938687,971057,1035689,1011519,865057,1089266,1040311,864621,867884,1003693,885735,969338,908277,937577,1021468,966347,962743,980173,855364,914283,849974,871646,897033,918219,1119250,903980,828848,954189,954226,993008,1081327,1007834,888883,1007433,977303,1082773,924534,1133909,1074049,954724,900697,900700,884032,872846,896753,905778,1043203,933618,883956
69000,929905,1095170,938402,980397,964429,869227,881148,1114904,1012237,994448,947802,930212,1162416,1006367,1193158,1002772,976463,1029610,929294,1414097,1031499,1069066,949409,886200,1145726,918065,1124630,924143,986565,938040,909755,1099944,1102288,1173248,1036308,1028209,1145771,1121005,1037729,1184622,957789,914826,1062050,902940,1084226,903712,1054960,898927,1080563,1043590
70000,1068946,940391,1169703,999027,909065,930121,914985,899607,1008600,888368,1082701,1028314,1073435,983247,950724,912609,935784,1142565,992350,987755,950224,1014056,1286917,895785,1083105,1114972,1126203,1047991,1047345,1037921,1071885,992112,1189331,1012924,971127,885537,903491,1033107,903111,975185,914625,1037350,1015211,1093632,945687,956810,922468,944524,1098559,896068
71000,1022042,1109858,938673,1068318,1004547,975190,1055813,931386,894344,1043882,1016186,1026520,996524,1297736,1211858,1052732,916440,967425,893971,1037811,988085,1040866,998971,905658,1270628,1010586,1059113,1072462,1152514,908953,1024318,1039530,1176306,929869,904534,955243,1167645,1111636,989983,930373,989110,1039428,983980,973020,1102189,1219358,1013324,1100490,873145,996211
72000,1186095,921044,990594,984964,898949,969877,1152798,1081290,947532,1047323,914586,948442,973662,1079635,1079816,1171052,1132890,1078342,941532,1008073,1085791,956301,1279430,997846,911482,1085072,949208,1010717,1108163,1018764,963255,1102533,953108,1065059,961478,1004321,999996,961860,962210,1475373,1057232,1037339,1100625,1159762,1044134,1028883,1033429,1325727,1100574,980848
73000,911389,1273633,1380505,968583,1089257,1372816,1083641,1060808,945141,1149855,1038158,980859,1218867,1109998,918497,1152860,1127362,1039502,1063534,1064664,1086752,1007997,1041773,935397,1005889,1261152,886327,1137703,909395,988160,1027876,1000045,924625,1208619,1313489,1025688,1244006,959705,1149381,1077060,971230,1204603,1093483,1034196,1027698,1056281,1225064,1051625,1005972,947330
74000,1120134,1022087,1118067,1060038,1212958,973199,1130358,1056360,1052414,1041892,1278425,1080204,1026169,972252,1089365,1016889,1137017,1032267,1087499,1095801,1099928,990058,1137233,963077,970691,1001473,1141495,1120459,1150492,1034958,1235518,1290658,1007031,1134387,1091379,1029474,1086702,928582,1087552,1185417,1134739,984913,1392423,1134932,1036751,1116651,987805,941107,1112773,1164209
75000,1259063,1133221,1122355,1156544,1264025,1007433,1096550,1229152,1023561,1056613,1060654,934803,1174828,1203653,1277522,1233871,1127277,1050553,1068029,977136,1072366,1004023,1145409,1164992,1140765,1034140,1301298,1112490,954536,1251860,1093731,1033437,1079067,993428,1067902,1026458,1152802,1090592,966717,1034266,1140229,1017057,1019919,1238706,1055019,1064593,1073514,1254407,1220776,971362
76000,1026815,1007509,1069473,975181,1025723,1154389,1356751,1261671,1021315,1027138,1171002,1093199,1072534,1025903,1212981,1051272,1139925,1151579,1192198,1135240,1229038,1262024,1111362,1161724,1000412,1293578,1064612,1115282,1215206,1241756,1074052,1223956,1080141,997838,1044555,1102745,1373154,959287,1212813,1202810,1124487,1169348,1058948,1139809,989922,1015311,1298240,1115524,975474,1039466
77000,1069567,1108965,1377486,1053684,1419532,1156494,1205977,1335467,1171153,1149095,1120360,1380986,1071735,1283943,1089733,1182406,1093282,1057372,1046489,1100950,1151766,1206437,998728,1232085,1154002,1055264,1104442,1070491,1272226,1053055,979416,1068153,1165847,1487658,1095087,1058602,1237576,1125450,1031803,974132,1102539,1090489,1078036,1203108,1266370,1169771,1195396,1164104,1310295,1240266
78000,1047251,1151576,1134787,1027738,1422985,958338,1114168,1210775,1310574,1123583,1217455,1186130,983488,1027379,1028714,1289256,1113134,1322380,1072674,1047639,1169721,1081029,1021979,1132500,982447,1243220,1061384,1015852,1063396,1386862,1541852,1255797,1151440,1058648,1227528,968735,1332818,1120109,1151678,1084000,1214813,1242527,1052537,1144877,1172670,1031426,1034462,971343,1459469,1027638
79000,1122054,1049263,1092329,1050093,1036134,1189020,1355583,1044098,1338251,1157213,1166543,1290932,1068869,1092766,1073099,1281049,1094284,1147926,1228442,1220799,1050044,1094469,1187209,1136031,1101076,1157372,1155479,1229324,994211,1096958,1132929,1214015,1150044,1108236,1158683,1205789,1129417,1075408,1171396,1216517,1036747,1277174,1576047,1045542,1181483,946142,1043892,1225277,1170604,1366979
80000,1086766,1244820,1089028,1054746,1184871,1156105,1093915,1126853,1164594,1196118,1076329,1220259,1305776,1132279,1214387,1026909,1261970,1163803,1239908,1108035,1188460,1063042,1147489,1124307,1188303,1052590,1094295,1050677,1301442,1118345,1135700,1205570,1322825,1162038,1281093,1195983,1231178,1455822,1112560,1236787,1226450,1196019,1209456,1115016,1187765,1032034,1128068,1150834,1066750,1213994
81000,1071630,1319399,1110366,1132651,1141423,1401847,1211085,1131066,1275022,1046383,999886,1155556,1430971,1143477,1300381,1105001,1073554,1037239,1129889,1105628,1290077,1171813,1073310,1243202,1082191,1070098,1106496,1123726,1182950,1164715,1138302,1185454,1074783,1169958,1193850,1272865,1128791,1083096,998928,1171136,1284159,1249874,1221516,1258396,1261025,1072828,1106934,1145617,1146096,1553939
82000,1238102,1065005,1132781,1174991,1123629,1161336,1037397,1206065,1196041,1170201,1262237,1358301,1032749,1174392,1214694,1203273,1158090,1116604,1174137,1165547,1113930,1264516,1375786,1112265,1136676,1259994,1342663,1162639,1212985,1120551,1321943,1245537,1130034,1124892,1137937,1352003,1093629,1105531,1150643,1145621,1263747,1338009,1205667,1312015,1230004,1224701,1428330,1208803,1049427,1209178
