n,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50
70000,21258,24486,179377,157359,106393,70738,216724,190262,194320,252080,233504,65237,285296,227798,256752,146191,35589,255160,209470,116775,67107,171306,307911,189670,376807,243684,202964,204639,133539,70782,207648,348575,180964,256986,118406,6004,232127,384126,222738,259529,89450,196437,46138,282024,218000,203742,118316,151670,184293,158776
71000,258908,290606,215149,468697,182123,372213,381268,241541,222923,204796,188294,208773,149849,23963,221752,173477,250244,151125,268524,96570,193127,170477,251633,267495,221837,216541,225457,166136,101361,115873,227533,84102,107646,228909,145685,190144,146986,107222,112990,158887,31710,66321,338703,98569,304345,299560,129470,149158,188739,44253
72000,66729,193240,115989,195646,107176,133225,69386,297633,465553,128467,120713,1824,231705,109457,74488,72536,187690,314981,156791,46302,345395,287149,292263,294142,64558,478430,164782,167874,42107,81826,142393,63051,132007,215989,473257,124382,86576,230495,188891,190172,557901,186912,151380,18877,126465,224685,175786,80062,263827,546712
73000,160679,452862,389773,83078,179407,26277,187806,361380,174812,93125,257711,214170,148955,230188,120243,384735,172570,146159,329622,132342,170700,154301,63240,64730,309935,255784,283164,155559,134451,295657,342728,316863,71696,384029,209423,401289,280052,267040,162892,294225,189945,267352,284300,133844,171466,272171,227184,172634,192248,101411
74000,295501,116060,178758,178708,88697,252515,293013,186146,252973,210619,434576,195147,131320,421603,314720,368671,255756,292376,671695,237801,168812,65007,414266,312393,16479,223485,320878,128346,176910,352684,13092,199169,441226,157711,140904,291825,317103,250154,64639,233031,245535,257405,310158,297084,89194,64798,175046,96090,162088,109188
75000,45045,134712,128887,102568,30528,213483,222902,704718,260390,246054,222990,45665,167882,32020,170337,104611,238802,230996,464946,34516,287420,107164,155585,90579,271640,127943,151917,111463,68076,117511,71682,237761,180214,145286,76033,182315,171609,142420,190904,179591,80492,350898,246523,329378,160236,76765,251334,201747,364315,104336
76000,377053,106171,92456,132686,214935,272215,131122,218157,69764,153605,267772,316383,96440,57506,329441,329544,368893,202657,141397,225836,324148,52301,125912,153785,167819,108891,290168,241925,250447,337666,64205,297886,335176,145270,218329,284464,23543,162494,138883,107934,320394,103947,285969,352151,302521,308100,197853,188891,375158,169064
77000,61153,83582,224721,196698,174403,276517,159042,174536,146885,274547,150148,331435,204962,198579,107160,171739,50761,79288,309874,21777,315875,154063,179723,214719,93234,73064,213696,216745,144562,233956,339360,378619,202434,120804,273217,105646,170761,191825,164123,338189,256061,225199,159832,279105,180971,295821,251370,478702,372879,208780
78000,324883,384278,188993,314219,190727,94666,105153,214002,182825,414111,246359,236672,264386,60368,165279,147646,53921,375700,265410,219945,211492,51052,126731,344412,155772,150362,134710,470128,276216,327308,173531,353674,182074,407745,170054,295519,141679,174952,157537,232753,360588,278022,266976,406082,178840,183944,191694,272258,336566,254987
79000,290975,151753,160486,261055,256846,256487,67996,106136,359784,103751,193071,223647,108001,209257,80484,344610,120383,125528,592472,217332,198141,192356,41946,170566,300776,93332,235704,193025,153256,187492,148402,374669,154236,342350,35767,195713,400549,100450,271989,172416,139119,187007,254079,335698,196807,339992,175085,391373,101329,31954
