n,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50
38000,467126,447031,388069,435381,438926,398741,418163,400542,447188,444137,374999,373141,454249,419987,410184,462892,374730,450641,437677,471261,383767,569142,359836,347711,483078,422197,451303,449316,455313,446664,452338,509882,434371,395136,354990,384598,455905,418532,420311,406939,418439,405615,387323,387792,415414,516786,379696,414669,476822,451943
39000,474977,475506,405394,462138,414015,516975,418638,402813,415417,437867,419477,433833,445263,491625,401591,387559,457780,399888,404827,393596,412843,456965,448053,478764,477900,368980,475635,428589,431882,378925,431373,520249,417177,393128,410112,423968,396980,453029,397355,407518,367330,389369,412783,382069,400788,431474,405942,400177,378559,489248
40000,446734,388436,475992,484876,399101,468720,417290,405209,385587,447630,402806,491691,390623,407483,448718,399800,385312,438387,467292,422961,462780,425492,517234,425116,482465,666939,396033,422813,385981,442611,481813,464887,468702,399953,466904,411214,502590,433076,408378,435828,428123,503523,403210,480937,446943,435452,494821,437852,460011,479744
41000,426539,434041,473906,447578,445711,411792,467783,599622,404268,459259,503461,493717,380180,479664,675768,452915,393967,517674,462544,429088,410450,559333,491322,440080,367118,459997,479261,484754,437336,532666,587982,716531,517535,507441,504676,550433,497961,409256,418177,445380,386104,424815,458339,396168,509783,420475,598295,379113,577925,495120
42000,449935,476738,478775,482217,435280,503053,420380,414456,399716,487814,435514,457790,494910,468596,427319,412512,480067,412257,477638,449640,477173,461029,432850,528934,466480,461508,399901,547276,480398,452169,559110,420659,460520,434774,552710,455006,474446,434149,448189,531257,438842,432793,500866,620670,444466,397760,586773,478288,501535,438595
43000,471010,448959,472466,465977,552862,565897,482867,466989,516401,478396,453032,442223,437288,491215,439437,429892,466877,469947,454344,615292,444840,451190,517746,604675,622608,472439,431499,483763,438674,411786,482743,481457,465355,501595,466516,457268,445768,502629,469878,432834,421947,628705,517389,445444,420190,475629,450655,404799,719211,537047
44000,539505,449677,434618,463280,686828,428342,483576,420928,441106,587786,463316,496564,477037,480323,486104,484332,464083,504294,486380,495006,429878,561222,519383,554100,452269,492558,464942,586891,507128,411405,470020,604776,418767,440966,450873,438045,469496,472842,425888,464013,504326,478762,487642,493822,486739,646397,475476,417338,463781,498778
45000,499946,464674,431573,447769,519695,506054,489524,537667,500644,474570,450872,458108,488789,547638,468701,474052,543588,499125,478941,505293,575182,557541,498328,507722,476366,515647,443400,541789,693635,444957,480411,474142,501752,427867,445012,511596,540766,413715,528751,526354,546126,470998,494772,505214,555173,445797,595354,464713,473931,499955
46000,498660,576652,474761,521469,464046,513509,492037,453525,507490,488361,510796,493164,479958,469651,524030,664913,521785,556740,429400,510564,618498,463290,498240,668650,539539,465287,474729,643028,470798,446665,563149,515285,481353,471492,498403,496943,475198,526884,477276,569565,600694,578944,478122,544063,578564,502492,566365,604266,556833,480553
47000,561011,652671,471536,572936,435547,494885,549892,780602,475937,497863,446264,475511,474359,558127,505167,502763,491425,531674,532722,530854,731271,514516,495290,575333,633049,532579,562817,487076,656044,487808,571327,482701,560876,686696,543305,562306,491787,541765,625246,484232,450020,482878,490857,558017,528121,656370,491776,591196,452129,540452
48000,519113,487947,587707,554807,660807,633714,569059,541197,468971,576525,546887,522694,511826,617668,502870,529059,524341,496628,605337,534473,582461,518112,533334,582985,530228,520593,499572,595854,486496,519050,559062,511140,595930,559112,512852,465836,612709,555753,667142,516255,543039,581438,443943,482159,469166,531204,559525,615346,515730,574188
